seq,word,phonetic,exchange,trans,
01/52,drama,英['drɑ:mә],,n.戏剧；剧本
02/52,distance,英['distәns],,n.距离；路程；远程v.疏远
03/52,hurricane,英['hә:rikәn],,n.飓风
04/52,venue,英['venju:],,n.聚会地点；会场；场合
05/52,jazz,英[dʒæz],,n.爵士乐；爵士舞
06/52,rank,英[ræŋk],,n.等级；排名v.分等级；排列
07/52,county,英['kaunti],,n.郡；县；区县
08/52,cafe,英[kɑ:'fei],,n.咖啡馆；小餐馆
09/52,calorie,英['kælәri],,n.卡路里（热量单位）
10/52,switch,英[switʃ],,n.开关v.转换；切换
11/52,exam,英[ig'zæm],(examination),n.考试；检查；测验
12/52,toast,英[tәust],,n.烤面包；敬酒v.向……敬酒；烘烤
13/52,barbecue,英['bɑ:bikju:],,n.&v.烧烤
14/52,gramme,英[græm],(gram),n.克（重量单位）
15/52,leisure,英['li:ʒә],,n.空闲；悠闲
16/52,Confucius,英[kәn'fju:ʃjәs],,n.孔子
17/52,dinosaur,英['dainәsɒ:],,n.恐龙
18/52,threat,英[θret],,n.威胁、，恐吓；凶兆
19/52,accent,英['æksәnt],,n.口音；重音；腔调
20/52,snack,英[snæk],,n.小吃；零食
21/52,mineral,英['minәrәl],,n.矿物；矿石a.矿物的
22/52,insect,英['insekt],,n.昆虫
23/52,expansion,英[ik'spænʃәn],,n.扩张；膨胀；详述
24/52,garbage,英['gɑ:bidʒ],,n.垃圾
25/52,labour,英['leibә],(labor),n.劳动；劳工
26/52,thunder,英['θʌndә],,n.雷声v.打雷；大喊
27/52,radium,英[ˈreɪdiəm],,n.镭；镭元素
28/52,centimetre,英['sentimi:tә(r)],,n.厘米
29/52,departure,英[di'pɑ:tʃә],,n.离开；起程
30/52,fence,英[fens],,n.篱笆v.用篱笆围住；击剑
31/52,theory,英['θiәri],,n.理论；学说；见解
32/52,council,英['kaunsәl],,n.会议；委员会；理事会
33/52,power,英['pauә],,n.力量；功率；权力；电力
34/52,strength,英[streŋθ],,n.力量；实力
35/52,profit,英['prɒfit],,n.利润；收益v.得利；有利于
36/52,behalf,英[bi'hɑ:f],,n.代表（某人）；为了（某人）
37/52,routine,英[ru:'ti:n],,n.常规；例行a.常规的；例行的
38/52,instance,英['instәns],,n.例子；示例；情况
39/52,association,英[ә.sәuʃә'eiʃәn],,n.协会；联盟；联合
40/52,practice,英['præktis],,n.练习；实践
41/52,chain,英[tʃein],,n.链条；连锁v.用链条锁住
42/52,neighbour,英['neibә],(neighbor),n.邻居；邻国
43/52,neighbourhood,英['neibәhud],,n.邻近；附近；邻里关系
44/52,soul,英[sәul],,n.灵魂；精神
45/52,facility,英[fә'siliti],,n.设施；场所；天赋
46/52,leadership,英['li:dәʃip],,n.领导；领导力
47/52,territory,英['teritәri],,n.领土；版图；领域
48/52,domain,英[dәu'mein],,n.领域；范围；域名
49/52,skateboard,英['skeitbɔ:d],,n.滑板v.用滑板滑行
50/52,fashion,英['fæʃәn],,n.时尚；流行；方式
51/52,dragon,英['drægәn],,n.龙
52/52,cage,英[keidʒ],,n.笼子；牢房v.把……关入牢笼
