seq,word,phonetic,exchange,trans,
01/51,playground,英['pleigraund],,n.操场
02/51,grass,英[græs],,n.草，草地
03/51,toilet,英['tɒilit],,n.厕所
04/51,tea,英[ti:],,n.茶，茶叶
05/51,supermarket,英['sju:pәmɑ:kit],,n.超级市场，超市
06/51,city,英['siti],,n.城市
07/51,taxi,英['tæksi],,n.出租汽车
08/51,kitchen,英['kitʃin],,n.厨房
09/51,ship,英[ʃip],,n.船v.用船装运
10/51,window,英['windәu],,n.窗户
11/51,bed,英[bed],,n.床
12/51,spring,英[spriŋ],,n.春天，泉水
13/51,word,英[wә:d],,n.词，单词，话
14/51,bag,英[bæg],,n.袋，包
15/51,egg,英[eg],,n.蛋，卵
16/51,cake,英[keik],,n.蛋糕，饼
17/51,rice,英[rais],,n.稻米，米饭
18/51,place,英[pleis],,n.地方v.放置
19/51,floor,英[flɒ:],,n.地面，楼层
20/51,map,英[mæp],,n.地图
21/51,film,英[film],,n.电影
22/51,cinema,英['sinәmә],,n.电影院，电影
23/51,computer,英[kәm'pju:tә],,n.电脑，电子计算机
24/51,email,英['i:'meil],,n.电子邮件v.发电子邮件
25/51,winter,英['wintә],,n.冬天
26/51,animal,英['ænimәl],,n.动物a.动物的
27/51,zoo,英[zu:]美[zu],,n.动物园
28/51,shorts,英[ʃɔ:ts],,n.短裤
29/51,socks,英[sɒks],,n.短袜
30/51,car,英[kɑ:],,n.耳朵，听力
31/51,room,英[ru:m],,n.房间，空间
32/51,house,英[haus],,n.房子，住宅
33/51,fly,英[flai],,n.飞行，苍蝇
34/51,plane,英[plein],,n.飞机
35/51,minute,英['minit. mai'nju:t],,n.分钟，一会儿
36/51,kite,英[kait],,n.风筝
37/51,Mrs.,英['misiz],(Mistress),n.夫人
38/51,parent,英['perәnt],,n.父母，双亲
39/51,father,英['fɑ:ðә],,n.父亲
40/51,woman,英['wumәn],(复women),n.妇女，女人
41/51,pen,英[pen],,n.钢笔，笔
42/51,song,英[sɒŋ],,n.歌唱，歌曲
43/51,worker,英['wә:kә],,n.工人，工作者
44/51,bus,英[bʌs],,n.公共汽车，大巴车
45/51,park,英[pɑ:k],,n.公园v.停车
46/51,dog,英[dɒg],,n.狗
47/51,story,英['stɒ:ri],,n.故事，小说
48/51,light,英[lait],,n.光，灯v.点火a.明亮的
49/51,child,英[tʃaild],(复children),n.孩子，儿童
50/51,box,英[bɒks],,n.盒子v.拳击
51/51,blackboard,英['blækbɒ:d],,n.黑板
