seq,word,phonetic,exchange,trans,
01/51,mental,英['mentl],,a.精神的；思想的；心智的
02/51,vast,英[vɑ:st],,a.巨大的；广阔的；
03/51,enormous,英[i'nɒ:mәs],,a.巨大的；庞大的；巨额的
04/51,concrete,英['kɒnkri:t],,a.具体的n.混凝土
05/51,military,英['militәri],,a.军事的；军用的；军队的
06/51,visible,英['vizәbl],,a.看得见的；明显的
07/51,visual,英['viʒuәl],,a.看得见的；可视的；视觉的
08/51,scientific,英[.saiәn'tifik],,a.科学的；科学化的；系统的
09/51,adorable,英[ә'dɒ:rәbl],,a.可爱的；可崇拜的；迷人的
10/51,reliable,英[ri'laiәbl],,a.可靠的；可信赖的
11/51,available,英[ә'veilәbl],,a.可用的；可得到的；有空的
12/51,eager,英['i:gә],,a.渴望的；热切的
13/51,positive,英['pɒzitiv],,a.阳性的；积极的；正面的；
14/51,blank,英[blæŋk],,a.空白的n.空白
15/51,generous,英['dʒenәrәs],,a.慷慨的；大方的；丰盛的
16/51,broad,英[brɒ:d],,a.宽阔的；广泛的
17/51,loose,英[lu:s],,a.宽松的ad.散漫地V.释放
18/51,romantic,英[rәu'mæntik],,a.浪漫的；传奇式的
19/51,optimistic,英[.ɒpti'mistik],,a.乐观（主义）的；看好的
20/51,comprehension,英[.kɒmpri'henʃәn],,n.理解（力）；领悟（力）
21/51,ideal,英[ai'diәl],,a.理想的；完美的n.理想
22/51,instant,英['instәnt],,a.立即的；即食的，速溶的n.瞬间
23/51,exceptional,英[ik'sepʃәnәl],,a.例外的；异常的；超常的
24/51,polar,英['pәulә],,a.两极的；极地的
25/51,amazing,英[ә'meiziŋ],,a.令人惊异的
26/51,horrible,英['hɒrәbl],,a.可怕的；极讨厌的；恐怖的
27/51,pleasant,英['pleznt],,a.令人愉快的；友好的
28/51,fluent,英['flu:әnt],,a.流利的；流畅的
29/51,logical,英['lɒdʒikәl],,a.逻辑的；符合逻辑的
30/51,contradictory,英[.kɒntrә'diktәri],,a.矛盾的；对立的
31/51,annual,英['ænjuәl],,a.每年的，年度的n.年刊
32/51,weekly,英['wi:kli],,a.每星期的ad.每周一次n.周刊
33/51,monthly,英['mʌnθli],,a.每月的ad.每月一次n.月刊
34/51,slim,英[slim],,a.苗条的；微小的v.减肥
35/51,sensitive,英['sensitiv],,a.敏感的；灵敏的
36/51,plain,英[plein],,a.简单的；朴素的n.平原
37/51,specific,英[spə'sɪfɪk],,a.明确的；具体的:特定的
38/51,internal,英[in'tә:nәl],,a.内部的；国内的
39/51,inner,英['inә],,a.里面的，内部的:内心的
40/51,comprehensive,英[kɒmpri'hensiv],,a.综合的；全面的；广泛的
41/51,senior,英['si:njә],,a.年长的；地位较高的n.毕业班学生
42/51,critical,英['kritikәl],,a.批评的；临界的；关键的
43/51,flat,英[flæt],,a.平坦的ad.平直地n.BrE公寓
44/51,ordinary,英['ɒ:dinәri],,a.普通的；平凡的；平庸的
45/51,odd,英[ɒd],,a.奇数的；奇怪的
46/51,organic,英[ɒ:'gænik],,a.有机的；器官的；有组织的
47/51,humble,英['hʌmbl],,a.谦卑的；低下的；简陋的
48/51,consistent,英[kәn'sistәnt],,a.一致的；稳定的；持续的
49/51,potential,英[pә'tenʃәl],,a.潜在的；可能的n.潜能
50/51,shallow,英['ʃælәu],,a.浅的；肤浅的
51/51,intense,英[in'tens],,a.强烈的；激烈的；紧锣密鼓的
