seq,word,phonetic,exchange,trans,
01/62,banana,英[bә'nɑ:nә],,n.香蕉
02/62,elephant,英['elifәnt],,n.象，大象
03/62,boat,英[bәut],,n.小船v.乘船
04/62,kid,英[kid],,n.小孩
05/62,Miss,英[mis],,n.小姐
06/62,hour,英[auә],,n.小时
07/62,pupil,英['pju:pl],,n.小学生
08/62,shoe,英[ʃu:],,n.鞋子
09/62,star,英[stɑ:],,n.星
10/62,Mr.,英['mistә(r)],(mister),n.先生
11/62,week,英[wi:k],,n.星期，周
12/62,brother,英['brʌðә],,n.兄，弟
13/62,bear,英[bєә],,n.熊v.忍受
14/62,panda,英['pændә],,n.熊猫
15/62,school,英[sku:l],,n.学校
16/62,snow,英[snәu],,n.雪v.下雪
17/62,duck,英[dʌk],,n.鸭子
18/62,colour,英['kʌlә],(color),n.颜色
19/62,eye,英[ai],,n.眼睛
20/62,grandfather,英['grændfɑ:ðә],(grandpa),n.爷爷，外公
21/62,night,英[nait],,n.夜间
22/62,clothes,英[klәuðz],,n.衣服
23/62,doctor,英['dɒktә],,n.医生，博士
24/62,hospital,英['hɒspitәl],,n.医院
25/62,chair,英[tʃєә],,n.椅子
26/62,art,英[ɑ:t],,n.艺术a.艺术的
27/62,music,英['mju:zik],,n.音乐，乐曲
28/62,baby,英['beibi],,n.婴儿
29/62,game,英[geim],,n.游戏，比赛
30/62,fish,英[fiʃ],,n.鱼v.钓鱼
31/62,rain,英[rein],,n.雨v.下雨
32/62,umbrella,英[ʌm'brelә],,n.雨伞
33/62,month,英[mʌnθ],,n.月，月份
34/62,moon,英[mu:n],,n.月球，月光
35/62,breakfast,英['brekfәst],,n.早餐
36/62,morning,英['mɒ:niŋ],,n.早晨
37/62,photo,英['fәutәu],(photography),n.照片
38/62,dinner,英['dinә],,n.正餐
39/62,juice,英[dʒu:s],,n.汁液
40/62,China,英['tʃainә],,n.中国，瓷器
41/62,clock,英[klɒk],,n.钟
42/62,kind,英[kaind],,n.种，类
43/62,pig,英[pig],,n.猪
44/62,idea,英[ai'diә],,n.主意，想法
45/62,table,英['teibl],,n.桌子，表格
46/62,bike,英[baik],(bicycle),n.自行车
47/62,brown,英[braun],,n棕色a.棕色的
48/62,foot,英[fut],(feet),n.脚，英尺
49/62,football,英['futbɒ:l],,n.足球，橄榄球
50/62,mouth,英[mauθ],,n.嘴
51/62,day,英[dei],,n.一天，白，天
52/62,v.,,,动词
53/62,aux.v.,,,助动词
54/62,a.,,,形容词
55/62,ad.,,,副词
56/62,conj.,,,连词
57/62,int.,,,语气词
58/62,art.,,,冠词
59/62,prep.,,,介词
60/62,prop.,,,代词
61/62,num.,,,数词
62/62,n.,,,名词
