word,explanation
一,一 (指事。一是汉字部首之一。本义数词。大写作壹。最小的正整数。常用以表示人或事、物的最少数量)同本义 一，惟初太始道立于一，造分天地，化成万物。--《说文》一也者，万物之本也。--《淮南子·诠言》抱一而天下试。--《老子》故一人有事于四方。--《书·君奭》。传天子也。一夫作难而七庙隳，身死人手，为天下笑。--汉·贾谊《过秦论》一夫夜呼，乱者四应。(公元九二年六月，李存莇妻刘皇后听信宦官诬告，杀死大臣郭崇韬，时谣言纷起，人心惶惶。屯驻在贝州(现河北省清河县)的军人皇甫晖勾结党羽作一yī⒈数目字。整数中最小的数～龙～猪。⒉纯，专～心～意。用心～也。⒊相同，同样～致。～模～样。⒋全，满～如既往。～网打尽。～身是胆。⒌又，其它，另外昆明市～名春城。⒍用在重叠动词的中间，〈表〉稍微，短暂试～试。望～望。停～停。⒎跟'就'呼应。①〈表〉每逢～想到要回祖国，就归心似箭。②〈表〉两事的时间紧接着～教就懂。～学就会。⒏〈古〉副词。乃，竟～至此乎！⒐〈古〉副词。⒑〈古〉副词。一旦，一经～闻人之过，终身不忘。⒒旧时乐谱记音符号之一，相当于简谱的低音'7'。⒓①特定～定的阶级。②相当工作上取得了～定的成绩。③规定，确定按～定的规章办事。④必然共产主义～定会实现。⒔⒕⒖
乙,乙 (象形。甲骨文字形。本义象植物屈曲生长的样子)同本义 乙，草木冤曲而出也。象形。--《说文》乙者，物蕃屈有节欲出。--《白虎通》思乙乙其若抽。--陆机《文赋》。注抽也。其於十母为甲乙。甲者，为万物剖符甲而出也;乙者，言万物生轧轧也。--《史记·律书》又如乙乙(难出之貌)第二，次一等 乙 天干的第二位，与地支相配，用以纪年、月、日 其日甲乙。--《礼记·月令》甲乙。--《淮南子·天文》乙yǐ⒈天干第二位。也用作次序的第二。⒉旧时乐谱的记音符号之一，相当于简谱的'7'。⒊打钩(〈表〉看书已看到该处，或某处文字有颠倒、脱落等)。
二,二 (会意。古文字二用两横画表示，是原始记数符号)一加一的和 二，地之数也。从耦一，会意。古文又从弋。--《说文》因二以济民行。--《易·系辞》。虞注谓乾与坤也◇世官书以贰为之，为防奸易。赐也闻一以知二。--《论语·公冶长》大父未死而有二十五孙。--《韩非子·五蠹》又如二加四得六;总数为二;二府(大肠和小肠;二太爷);二形(男女两性);二难(指难兄难弟，即蔡、宋两御史);二仪(两仪。指天地、阴阳);二纪(二十四年。一纪为十二年);二氏(释教与道教);二军(汉代禁卫军之南军和北军);二南(原指《诗经》中的
十,十 (指事。甲骨文象用一根树枝代表十，金文象是结绳记数，用一个结表示十◇来一点变成了一横。本义九加一的和)同本义 十，数之具也。╠为东西，|为南北，则四方中央备矣。--《说文》十是数之小成。--《左传·僖公四年》疏十亩之间兮。--《诗·小雅·六月》兵也者，审于地图，谋十官。--《管子·七法》天下欲反，十室九空。--葛洪《抱朴子·用刑》与吾祖居者，今其室十无一焉。--唐·柳宗元《捕蛇者说》又如十里长亭(古时设在路旁的亭子，常用作送别饯行之处);十番(合奏乐以十种乐器演奏的名称);十牌(十户人家十shí⒈数目字～羊九牧。⒉完全，〈表〉到达顶点～足。～全～美。～分感谢。
丁,丁 (象形。金文象俯视所见的钉头之形，小篆象侧视的钉形。本义钉子)同本义。丁为钉的古字 丁，钻也。象形。今俗以钉为之，其质用金或竹，若木。--《说文》又如丁屐(底有钉齿的木鞋);丁子(蝌蚪。初生头大有尾，如丁字)小的立方体 天干的第四位，与地支相配，用以纪年、月、日 其日丙丁。--《吕氏春秋·孟夏》夏，四月，丁未，公及郑伯盟于越。--《春秋》能担任赋役的成年
厂,厂 (形声。从广，敞声。从广，表示与房屋有关。本义棚舍) 没有墙壁的简易房屋  又如厂屋(棚舍;无隔墙的房屋) 马屋;牲口棚子  架北墙为厂。--《齐民要术》 工厂  正德十四年，广州置铁厂。--《明史·食货志》 又如纱厂;钢厂;面粉厂;纺织厂;造纸厂;木器厂 明代的一种特务机构  厂ān ⒈小寺庙。多称尼姑居住处～堂。 ⒉圆形的草屋。'厂'多见于人名。 厂 chǎng工厂塑料～、面粉～。 【厂长责任制】全民所有制工业企业中所实行的一种制度。在这种制度下，厂长具有企业经营管理工作的决策权和生产指挥权，在企业中处于中心地位，对企业的物质文明建设和精神文明建设负有全面责任。 厂（厰、弒）chǎng ⒈通常指制造生产资料或生活资料的企业单位工～。轧钢～。食品～。 ⒉可以存货或可进行加工的场所煤～。汽车修配～。 ⒊跟棚子相似的房屋～棚。
七,七〈数〉(指事。从一ㄣ。画以纪数。本义六加一的和)同本义 七，阳之正也。从一，微阴从中斜出也。--《说文》其数七。--《礼记·月令》七者，天地四时人之始也。--《汉书·律历志》七主星。--《大戴礼记·易本命》七日得。--《易·既济》。虞注震为七。凡攻木之工七。--《周礼·考工记》有子七人。--《诗·邶风·凯风》又如七宝(佛经上指金、银、琉璃、砗磲、玛璃、珍珠、玫瑰);七出(旧指休妻的七种理由无子，淫泆报会，不事舅姑，口舌，盗窃，妒忌，恶疾);七年;七秩(七十大寿);七雄(指战国时秦、韩、魏七qī数目字～天。～擒～纵。～～事变。
卜,卜--见萝卜卜 bǔ①占卜～卦。②预料生死未～。③选择（处所）～宅。④姓。又见·bo。【卜筮】古时占卜， 用龟甲称卜，用蓍草称筮，合称卜筮。卜pú 1.我国古代少数民族名。即濮。 2.通'仆'。见'卜人'。
八,八 (象形。甲骨文象分开相背的样子『字部首之一。从八的字多与分解、分散、相背有关。本义相背分开) 同本义 八，别也。象分别相背之形。--《说文》。段玉裁注今江、浙俗语以物与人谓之八，与人则分别矣。八 七加一的和 八，数也。--《玉篇》陈浪簋。--《诗·小雅·伐木》地理以八制。--《管子·五行》。注少阴之数。八者，维纲也。--《大戴礼记·本命》。按，谓八方四正四隅。遇艮之八。史曰，是谓艮之随言，六二爻也。余五爻皆变。凡易用六不用八。八，少阴不变
人,人 (象形。甲骨文字形，象侧面站立的人形。人是汉字部首之一。本义能制造工具改造自然并使用语言的高等动物)同本义 人，天地之性最贵者也。此籀文象臂胫之形。--《说文》故人者，天地之德，阴阳之交，鬼神之会，五行之秀气也。故人者，天地之心也，五行之端也，食味，别声，被色，而生者也。--《礼记·礼运》有七尺之骸、手足之异，戴发含齿，倚而食者，谓之人。--《列子·黄帝》人未有不乐为治平之民者也。--清·洪亮吉《治平篇》又如人王(人中之王);人满(人多);人寰(人世);人欲(人的嗜欲);人人rén⒈能制造工具且能使用工具从事劳动的动物～类。⒉指每一个人～手一册。～自为战。⒊指别人，他人助～为乐。专门利～。⒋指人的品质、表现那个～挺好。⒌指人格或面子真丢～。⒍指人的身体～不舒服。⒎⒏⒐⒑⒒①关于人员的录用、培养、管理、调配、奖惩等工作～事工作。②人的离合、境遇、存亡等～事变化。③人情事理不懂～事。④人的意识不省～事。⑤人力所能做的事聊尽～事。⒓⒔⒕①人的道德品质～格高尚。②人的权利和义务尊重～格。⒖
