seq,word,phonetic,exchange,trans,
01/52,daughter,英['dɒ:tә],,n.女儿
02/52,lady,英['leidi],,n.女士；小姐
03/52,actress,英['æktris],,n.女演员
04/52,blouse,英[blauz],,n.女式衬衫；宽松上衣
05/52,Europe,英['juәrәp],,n.欧洲；欧盟
06/52,blow,英[blәu],,n.风吹；吹气；打击
07/52,volleyball,英['vɒlibɒ:l],,n.排球
08/52,dish,英[diʃ],,n.盘；一盘菜，一道菜
09/52,side,英[said],,n.边；侧面v.支持
10/52,training,英['treiniŋ],,n.培训，训练
11/52,ticket,英['tikit],,n.(电影，车)票，入场券
12/52,weekday,英['wi:kdei],,n.平日；工作日
13/52,screen,英[skri:n],,n.屏幕；屏风
14/52,bottle,英['bɒtl],,n.瓶子
15/52,grape,英[greip],,n.葡萄
16/52,wife,英[waif],,n.妻子
17/52,chess,英[tʃes],,n.棋；国际象棋
18/52,flag,英[flæg],,n.旗，旗帜
19/52,balloon,英[bә'lu:n],,n.气球
20/52,kilo,英['kiәlj],(=kilogram),n.千克，公斤
21/52,kilometre,英['kilәjmi:tә(r)],(AmEkilometer),n.千米，公里
22/52,money,英['mʌni],,n.钱，金钱；货币
23/52,wallet,英['wɒlit],,n.钱夹，钱包
24/52,gun,英[gʌn],,n.枪；炮
25/52,wall,英[wɒ:l],,n.墙壁
26/52,bridge,英[bridʒ],,n.桥梁；纽带
27/52,chocolate,英['tʃɒkәlit],,n.巧克力
28/52,relative,英['relәtiv],,n.亲属a.相对的
29/52,bedroom,英['bedrum],,n.寝室，卧室
30/52,list,英[list],,n.列表；清单
31/52,sign,英[sain],,n.标记；痕迹v.签名
32/52,advice,英[әd'vais],,n.建议；忠告；劝告
33/52,heat,英[hi:t],,n.热，高温v.加热
34/52,person,英['pә:sn],,.人
35/52,human,英['hju:mәn],,n.人，人类
36/52,population,英[.pɒpju'leiʃәn],,n.人口；人口数
37/52,task,英[tɑ:sk],,n.任务；工作
38/52,Japan,英[dʒә'pæn],,n.日本
39/52,Japanese,英[.dʒæpә'ni:z],,n.日本人；日语a.日本的
40/52,diary,英['daiәri],,.日记；日记本
41/52,calendar,英['kælindә],,n.日历
42/52,date,英[deit],,n.日期；约会
43/52,meat,英[mi:t],,n.肉，肉类(总称)
44/52,race,英[reis],,n.赛跑，竞赛；种族
45/52,sandwich,英['sændwitʃ],,n.三明治
46/52,salad,英['sælәd],,色拉，沙拉
47/52,forest,英['fɒrist],,n.森林，树林
48/52,sofa,英['sәufә],,沙发
49/52,sand,英[sænd],,n.沙子；沙地；沙滩
50/52,mountain,英['mauntin],,n.高山；山脉；山区
51/52,snake,英[sneik],,n.蛇
52/52,society,英[sә'saiәti],,n.社会
