seq,seqn,word,phonetic,exchange,trans,,,,
1,1/1533,ignore,英[ig'nɒ:],,v.忽视;无视;不理睬,,,,
2,2/1533,suspect,英[sә'spekt],,v.怀疑n.嫌疑人a.可疑的,,,,
3,3/1533,refer,英[ri'fә:],,v.参考;提到;涉及,,,,
4,4/1533,participate,英[pɑ:'tisipeit],,v.参与;参加;分享,,,,
5,5/1533,measure,英['meʒә],,v.测量n.措施,,,,
6,6/1533,detect,英[di'tekt],,v.侦查;发现;检测,,,,
7,7/1533,perceive,英[pә'si:v],,v.察觉;感知,,,,
8,8/1533,balance,英['bælәns],,v.平衡n.天平;平衡;余额,,,,
9,9/1533,integrate,英['intigreit],,v.合并;融合;综合,,,,
10,10/1533,clarify,英['klærifai],,v.澄清;净化,,,,
11,11/1533,surf,英[sә:f],,v.冲浪;上网,,,,
12,12/1533,publish,英['pʌbliʃ],,v.出版;公布,,,,
13,13/1533,arise,英[ә'raiz],,v.产生;出现;由...引起,,,,
14,14/1533,resign,英[ri'zain],,v.辞职;放弃,,,,
15,15/1533,stimulate,英['stimjuleit],,v.刺激;使兴奋;激励,,,,
16,16/1533,engage,英[in'geidʒ],,v.参与;从事;吸引,,,,
17,17/1533,promote,英[prәu'mәut],,v.促进;提升;推广,,,,
18,18/1533,exist,英[ig'zist],,v.存在;生存,,,,
19,19/1533,sweep,英[swi:p],,v.打扫;席卷;掠过,,,,
20,20/1533,mount,英[maunt],,v.爬上;增加;安装,,,,
21,21/1533,carve,英[kɑ:v],,v.切开;雕刻,,,,
22,22/1533,stare,英[stєә],,v.盯着;凝视,,,,
23,23/1533,bet,英[bet],,v.赌;打赌n.赌注,,,,
24,24/1533,starve,英[stɑ:v],,v.饿死;挨饿,,,,
25,25/1533,whisper,英['hwispә],,v.耳语;低声说n.悄悄话,,,,
26,26/1533,launch,英[lɒ:ntʃ],,v.发射;启动n.发行,,,,
27,27/1533,shoot,英[ʃu:t],,v.发射n.射击,,,,
28,28/1533,occur,英[ә'kә:],,v.发生;出现;存在,,,,
29,29/1533,oppose,英[ә'pәuz],,v.反对;使对立;使对抗,,,,
30,30/1533,reflect,英[ri'flekt],,v.反射;反映,,,,
31,31/1533,react,英[ri'ækt],,v.起反应;反作用,,,,
32,32/1533,defend,英[di'fend],,v.保卫;防御;维护,,,,
33,33/1533,sew,英[sәu],,v.缝合;缝纫,,,,
34,34/1533,devote,英[di'vәut],,v.奉献;致力于,,,,
35,35/1533,deny,英[di'nai],,v.否认;拒绝,,,,
