seq,seqn,word,phonetic,exchange,trans
1,1/1094,mix,英[miks],,v.混淆;混合
2,2/1094,litter,英['litә],,v.乱丢;乱扔废弃物n.垃圾
3,3/1094,kick,英[kik],,v.&n.踢
4,4/1094,increase,英[in'kri:s],,v.&n.增加;增长、;
5,5/1094,shut,英[ʃʌt],(shut;shut),v.&n.关闭;停业
6,6/1094,hide,英[haid],(hid;hidden),v.把...藏起来;隐藏
7,7/1094,keep,英[ki:p],(kept;kept),v.保持;保存
8,8/1094,must,英[mʌst],,v.必须;必定是
9,9/1094,punish,英['pʌniʃ],,v.惩罚
10,10/1094,telephone,英['telifәun],,v.打电话n.电话
11,11/1094,phone,英[fәun],(=telephone),v.打电话n.电出
12,12/1094,fight,英[fait],(fought;fbught),v.&n.打架;争斗
13,13/1094,reach,英[ri:tʃ],,v.到达;伸手够到
14,14/1094,understand,英[.ʌndә'stænd],(understood;understood),v.懂得;理解;明白
15,15/1094,shake,英[ʃeik],(shook;shaken),v.动摇;震动
16,16/1094,spend,英[spend],(spent;spent),v.度过;花费
17,17/1094,wonder,英['wʌndә],,v.对...疑惑;惊奇;想知道
18,18/1094,shine,英[ʃain],(shone;shone),v.发光;照耀
19,19/1094,relax,英[ri'læks],,v.放松;使轻松
20,20/1094,pay,英[pei],(paid;paid),v.支付;偿还n.薪水
21,21/1094,show,英[ʃәu],(showed;shown),v.&n.显示;说明;演出
22,22/1094,support,英[sә'pɒ:t],,v.支持;供养
23,23/1094,care,英[kєә],,v.关心;照顾
24,24/1094,manage,英['mænidʒ],,v.管理;设法做到
25,25/1094,return,英[ri'tә:n],,v.归还;返回
26,26/1094,act,英[ækt],,v.行动;扮演n.行为
27,27/1094,wound,英[wu:nd],,v.受伤n.伤口
28,28/1094,remember,英[ri'membә],,v.记得;想起
29,29/1094,drive,英[draiv],,v.驾驶;开车
30,30/1094,build,英[bild],(built;built),v.建筑;建造
31,31/1094,teach,英[ti:tʃ],(taught;taught),v.教;教授
32,32/1094,marry,英['mæri],,v.嫁;结婚
33,33/1094,finish,英['finiʃ],,v.完成;结束
34,34/1094,solve,英[sɒlv],,v.解决
35,35/1094,borrow,英['bɒrәu],,v.借用;借
36,36/1094,lift,英[lift],,v.举起;提升
37,37/1094,decide,英[di'said],,v.决定;下决心
38,38/1094,start,英[stɑ:t],,v.开始;出发
39,39/1094,pull,英[pul],,v.拉;拖n.拉力
40,40/1094,leave,英[li:v],(left;le仕),v.离开;留下
41,41/1094,lead,英[li:d. led],(led;led),v.领导;带领
42,42/1094,sell,英[sel],(sold;sold),v.卖
43,43/1094,climb,英[klaim],,v.爬;攀登
44,44/1094,send,英[send],(sent;sent),v.发送;派遣;寄信
45,45/1094,ride,英[raid],(rode;ridden),v.骑;乘车n.乘坐
46,46/1094,cut,英[kʌt],(cut;cut),v.切;剪
47,47/1094,celebrate,英['selibreit],,v.庆祝;过节
48,48/1094,burn,英[bә:n],(-ed;-ed或burnt;burnt),v.燃烧n.烧伤
49,49/1094,kill,英[kil],,v.杀死;使终止
50,50/1094,fail,英[feil],,v.失败;不及格
51,51/1094,realise,英['riәlaiz],,v.实现
52,52/1094,pick,英[pik],,v.拾起;挑选
53,53/1094,dry,英[drai],,v.使....变干a.干的;干燥的
54,54/1094,separate,英['sepәreit],,v.使分开a.分开的
55,55/1094,seem,英[si:m],,v.似乎;好像
56,56/1094,receive,英[ri'si:v],,v.收到;得到
57,57/1094,count,英[kaunt],,v.计数;认为n.计算
58,58/1094,brush,英[brʌʃ],,v.刷;擦n.刷子
59,59/1094,die,英[dai],,v.死亡;消失
60,60/1094,lie,英[lai],(lay;lain),v.躺;平放;彳立于
61,61/1094,survey,英[sә'vei],,v.&n.调查;测量
62,62/1094,throw,英[θrәu],(threw;thrown),v.投;掷;扔
63,63/1094,dig,英[dig],(dug;dug),v.挖洞;挖掘
64,64/1094,forget,英[fә'get],(forgot;forgotten),v.忘记;忽略
65,65/1094,smell,英[smel],(smelt;smelt),v.闻至I」;发出气味n.气味
66,66/1094,pollute,英[pә'lu:t],,v.污染;玷污
67,67/1094,wish,英[wiʃ],,v.希望n.愿望
68,68/1094,believe,英[bi'li:v],,v.相信;认为
69,69/1094,ring,英[riŋ],(rang;rung),v.铃响;按铃n.戒指
70,70/1094,wake,英[weik],(woke;woken),醒来;叫醒
71,71/1094,hang,英[hæŋ],(hung;hung),v.悬挂;把吊起
72,72/1094,spread,英[spred],(spread;spread),v.传播;伸展;展开
73,73/1094,move,英[mu:v],,v.移动;搬家;感动
74,74/1094,cover,英['kʌvә],,v.包括;覆盖n.封
75,75/1094,point,英[pɒint],,v.指向n.要点;得分
76,76/1094,treat,英[tri:t],,v.对待;治疗n.请客
77,77/1094,nod,英[nɒd],,v.点头
78,78/1094,hurry,英['hʌri],,v.赶快;匆忙
79,79/1094,freeze,英[fri:z],(froze;frozen),v.结冰;冻结;凝茴
80,80/1094,become,英[bi'kʌm],(became;become),v.变为;成为
81,81/1094,succeed,英[sәk'si:d],,v.成功
82,82/1094,accept,英[әk'sept],,v.承认v.接受
83,83/1094,rush,英[rʌʃ],,v.冲;奔跑
84,84/1094,appear,英[ә'piә],,v.出现;显现
85,85/1094,arrive,英[ә'raiv],,v.到达;抵达
86,86/1094,happen,英['hæpәn],,v.发生;碰巧
87,87/1094,refuse,英[ri'fju:z],,v.拒绝;抵制
88,88/1094,skate,英[skeit],,v.溜冰;滑冰
89,89/1094,fall,英[fɒ:l],(fell;fhllen),v.落下n.瀑布;秋天
90,90/1094,reason,英['ri:zn],,v.推论n.原因;理性
91,91/1094,rise,英[raiz],(rose;risen),v.上升;起立
92,92/1094,sound,英[saund],,v.听起来;发出声音n.声音
93,93/1094,beat,英[bi:t],,v.敲打;打败
94,94/1094,depend,英[di'pend],,v.依靠;取决于
95,95/1094,stick,英[stik],(stuck;stuck),v.粘住;坚持n.木棒
96,96/1094,match,英[mætʃ],,v.&n.使相配;比赛
97,97/1094,invent,英[in'vent],,v.发明;创造
98,98/1094,lay,英[lei],(laid;laid),v.躺下;产卵;放;
99,99/1094,introduce,英[.intrә'dju:s],,v.介绍;引进
