seq,word,phonetic,exchange,trans,
01/52,mankind,英[mæn'kaind],,n.人类
02/52,directory,英[di'rektәri],,n.电话本；目录
03/52,crowd,英[kraud],,n.人群v.聚集；拥挤
04/52,mercy,英['mә:si],,n.仁慈；怜悯；宽恕
05/52,recognition,英[.rekәg'niʃәn],,n.认出；识别；承认
06/52,volume,英['vɒljum],,n.容积；音量
07/52,content,英[kәn'tent],,n.内容；目录a.满足的
08/52,capacity,英[kә'pæsiti],,n.容量；能力；生产力
09/52,Confucianism,英[kәn'fju:ʃjәnizm],,n.儒家；儒学；儒家思想
10/52,cream,英[kri:m],,n.奶油；面霜
11/52,entrance,英['entrәns],,n.入口；进入
12/52,software,英['sɒftwєә],,n.软件
13/52,plug,英[plʌg],,n.塞子；插头v.塞住
14/52,loss,英[lɒs],,n.损失；丢失；损耗
15/52,desert,英['dezәt. di'sә:t],,n.沙漠；不毛之地v.抛弃
16/52,shark,英[ʃɑ:k],,n.鲨鱼
17/52,peak,英[pi:k],,n.山峰；最高点a.高峰的
18/52,valley,英['væli],,n.山谷；流域
19/52,goat,英[gәut],,n.山羊
20/52,fan,英[fæn],,n.扇子；粉丝v.煽动
21/52,injury,英['indʒәri],,n.伤害；损害；受伤处
22/52,minority,英[mai'nɒriti],,n.少数；少数人；少数民族
23/52,luxury,英['lʌkʃәri],,n.奢侈；奢侈品
24/52,tongue,英[tʌŋ],,n.舌头；言语v.舔
25/52,equipment,英[i'kwipmәnt],,n.设备；装备；器材
26/52,photographer,英[fә'tɔ^rәfә],,n.摄影师；摄影家
27/52,applicant,英['æplikәnt],,n.申请人；请求者
28/52,identity,英[ai'dentiti],,n.身份；特征；一致
29/52,depth,英[depθ],,n.深度；深厚；深刻
30/52,ecology,英[i:'kɒlәdʒi],,n.生态；生态学
31/52,being,英['bi:iŋ],,n.存在；生物；生命
32/52,biology,英[bai'ɒlәdʒi],,n.生物；生物学
33/52,province,英['prɒvins],,n.省，省份；领域
34/52,failure,英['feiljә],,n.失败；不及格；故障
35/52,poetry,英['pәuitri],,n.诗歌；诗集
36/52,poet,英['pәuit],,n.诗人
37/52,decade,英['dekeid],,n.十；十年
38/52,era,英['iәrә],,n.时代；年代；纪元
39/52,schedule,英['skedʒuәl],,n.时间表；计划表v.安排
40/52,experiment,英[ik'sperimәnt],,n.实验；试验v.尝试
41/52,lab,英[læb],(laboratory),n.实验室；研究室
42/52,grocery,英['grәusәri],,n.食品杂货店
43/52,canteen,英[kæn'ti:n],,n.食堂；餐厅
44/52,appetite,英['æpitait],,n.食欲；胃口；嗜好
45/52,mission,英['miʃәn],,n.使命；任务
46/52,soldier,英['sәuldʒә],,n.战士；士兵；军人
47/52,suburb,英['sʌbә:b],,n.郊区；市郊
48/52,incident,英['insidәnt],,n.事件；插曲
49/52,event,英[i'vent],,n.事件；大事；项目；活动
50/52,affair,英[ә'fєә],,n.事务；私事；私通
51/52,enterprise,英['entәpraiz],,n.企业；事业；创业
52/52,career,英[kә'riә],,n.职业；生涯；事业
