seq,word,phonetic,exchange,trans,
01/51,town,英[taun],,n.城镇；商业中心区
02/51,passenger,英['pæsindʒә],,n.乘客，旅客
03/51,degree,英[di'gri:],,n.度数；程度；学位
04/51,programme,英['prәugræm],(AEprogram),n.程序v.计划
05/51,size,英[saiz],,n.尺寸；大小
06/51,plenty,英['plenti],,n.充足；大量
07/51,pet,英[pet],,n.宠物
08/51,picnic,英['piknik],,n.&v.野餐
09/51,birth,英[bә:θ],,n.出生；诞生
10/51,tape,英[teip],,n.磁带；录音带
11/51,village,英['vilidʒ],,n.乡村；村庄
12/51,mistake,英[mis'teik],,n.错误v.弄错(mistook，mistaken)
13/51,university,英[.ju:ni'vә:siti],,n.大学
14/51,college,英['kɒlidʒ],,n.大学；学院
15/51,unit,英['ju:nit],,n.单元；单位
16/51,knife,英[naif],(pl.knives),n.刀，匕首v.切开
17/51,island,英['ailәnd],,n.岛，岛屿
18/51,road,英[rәud],,n.道路；公路
19/51,Germany,英［'dʒә:mәni］,,n.德国；德意志
20/51,drop,英[drɒp],,n.滴；水滴v.落下
21/51,enemy,英['enimi],,n.敌人；敌军
22/51,bottom,英['bɒtәm],,n.底部；底层
23/51,geography,英[dʒi'ɒgrәfi],,n.地理；地理学
24/51,ground,英[graund],,n.地面；场地；理由
25/51,earth,英[ɜːθ],,n.地球；土地
26/51,area,英['єәriә],,n.地区；区域；面积
27/51,earthquake,英['ә:θkweik],,n.地震
28/51,address,英[ә'dres],,n.地址v.写地址；演说
29/51,fridge,英[fridʒ],(refrigerato),n.电冰箱；冷冻机
30/51,television,英['teli.viʒәn],,n.电视机
31/51,movie,英['mu:vi],,n.电影；电影院
32/51,top,英[tɒp],,n.顶部；顶端；上部
33/51,thing,英[θiŋ],,n.东西；事情
34/51,hole,英[hәul],,n.洞，洞穴；裂口
35/51,jacket,英['dʒækit],,n.短上衣；夹克衫
36/51,team,英[ti:m],,团队，队伍；小组
37/51,dialogue,英['daiәlɒg],,n.&v.对话；交谈，谈话
38/51,ton,英[tʌn],,n.（重量单位）吨；吨位
39/51,Russia,英['rʌʃә],,n.俄罗斯
40/51,son,英[sʌn],,儿子；孩子
41/51,invention,英[in'venʃәn],,n.发明；创造
42/51,fever,英['fi:vә],,发烧；发热
43/51,discovery,英[dis'kʌvәri],,n.发现；发觉
44/51,pronunciation,英[prәu.nʌnsi'eiʃәn],,n.发音
45/51,development,英[di'velәpmәnt],,n.发展；开发
46/51,France,英[frɑ:ns],,n.法国，法兰西
47/51,law,英[lɒ:],,n.法律；定律
48/51,restaurant,英['restәrɒŋ],,n.饭店，餐馆
49/51,method,英['meθәd],,n.方法，办法
50/51,direction,英[di'rekʃәn],,n.方向；趋向
51/51,visitor,英['vizitә],,n.访问者；参观者
