seq,word,phonetic,exchange,trans,
01/50,pond,英[pɒnd],,n.池塘；池子
02/50,duration,英[dju'reiʃәn],,n.持续；持续时间；期间
03/50,possession,英[pә'zeʃәn],,n.持有；所有权；财产
04/50,dimension,英[dai'menʃәn],,n.维度；体积；方面
05/50,equator,英[i'kweitә],,n.赤道
06/50,impact,英['impækt],,v.对...有影响；n.影响撞击
07/50,drawer,英['drɒ:ә],,n.抽屉
08/50,exit,英['eksit],,n.出口；通道
09/50,chef,英[ʃef],,n.厨师长；厨师
10/50,cupboard,英['kʌpbɒ:d],,n.橱柜；碗柜
11/50,reserve,英[ri'zә:v],,n.储备；自然保护区v.预订；保留
12/50,infection,英[in'fekʃәn],,n.传染；感染
13/50,tradition,英[trә'diʃәn],,n.传统；惯例
14/50,curtain,英['kә:tәn],,n.窗帘；幕布V.遮蔽
15/50,innovation,英[.inәu'veiʃәn],,n.创新；革新
16/50,vocabulary,英[vә'kæbjulәri],,n.词汇；词汇表；词汇量
17/50,charity,英['tʃæriti],,n.慈善；仁慈；施舍
18/50,disk,英[disk],(disc),n.磁盘；光盘；唱片
19/50,jungle,英['dʒʌŋgl],,n.丛林；危险地带；一团*
20/50,cottage,英['kɒtidʒ],,n.村舍；小屋；平房
21/50,file,英[fail],,n.文件；档案v.把……归档
22/50,error,英['erә],,n.错误；过失
23/50,majority,英[mә'dʒɒriti],,n.大多数；成年
24/50,mass,英[mæs],,n.团（堆）；大量；群众
25/50,continent,英['kɒntinәnt],,n.大陆；洲
26/50,atmosphere,英['ætmәsfiә],,n.大气层；气氛；氛围
27/50,master,英['mɑ:stә. 'mæstә],,n.硕士；大师v.精通
28/50,lap,英[læp],,n.膝部；一圈V.重叠
29/50,representative,英[.repri'zentәtiv],,n.代表a.典型的；有代表性的
30/50,agency,英['eidʒәnsi],,n.代理；代理商；中介
31/50,loan,英[lәun],,n.贷款；租借v.借出
32/50,treatment,英['tri:tmәnt],,n.治疗；待遇；处理
33/50,kangaroo,英[.kæŋgә'ru:],,n.袋鼠
34/50,protein,英['prәuti:in],,n.蛋白，蛋白质
35/50,client,英['klaiәnt],,n.客户；顾客；委托人
36/50,missile,英['misail],,n.导弹；发射物
37/50,virtue,英['vә:tju:],,n.善；美德；德行
38/50,lamp,英[læmp],,n.灯；灯泡；灯具
39/50,lantern,英['læntәn],,n.灯笼；提灯
40/50,click,英[klik],,n.滴答声v.点击；发出滴答声
41/50,resistance,英[ri'zistәns],,n.抵抗；抵制；阻力；电阻
42/50,region,英['ri:dʒәn],,n.地区；范围；部位
43/50,district,英['distrikt],,n.地区；行政区
44/50,zone,英[zәun],,n.地带；区域v.分区
45/50,carpet,英['kɑ:pit],,n.地毯；毛毯v.铺地毯
46/50,subway,英['sʌbwei],,n.地铁；赛百味
47/50,electricity,英[.ilek'trisiti],,n.电力，电流；电学
48/50,battery,英['bætәri],,n.电池；蓄电池；炮台
49/50,initiative,英[i'niʃiәtiv],,n.主动（性/权）；法案a.主动的
50/50,rainbow,英['reinbәu],,n.彩虹
