id,type,mchoice,ans,title,desc,opa,opb,opc,opd,ope,opf,opg,oph
"meqzj04000","junior","N","D","produce","英[pn'dju:s]美[pro'dus] ","n.价钱;v.花费","v.劝告，提建议","v.得分n.分数","v.生产；制造","","","",""
"meqzj04001","junior","N","B","surprise","英[so'praiz]美[sor'praiz] ","n.零钱v.改变","v.使惊奇n.吃惊","n.&v.笑；嘲笑","n.&v.计划;打算","","","",""
"meqzj04002","junior","N","C","trouble","英[tTAbl]美[trAbol] ","n.&v.笑；嘲笑","n.&v.报道；报告","v.使苦恼n.烦恼;困难","v.印刷；出版","","","",""
"meqzj04003","junior","N","B","raise","英[reiz]美[rez] ","n.&v.影响;感化","v.提起；举起；升高","n.&v.承诺；许诺","n.&v.推；按","","","",""
"meqzj04004","junior","N","A","collect","英[kWekt]美[kokkt] ","收集；收藏","n.&v.报道；报告","v.使惊奇n.吃惊","v.得分n.分数","","","",""
"meqzj04005","junior","N","B","discuss","英[di'skAs]美[di'skAs] ","n.&v.喊叫；大声说","v.讨论；论述","n.&v.微笑；笑容","v.想象，设想","","","",""
"meqzj04006","junior","N","D","provide","英[pro'vaid]美[prn'vaid] ","v.得分n.分数","v.想象，设想","v.扛；运送；输送","提供，供给","","","",""
"meqzj04007","junior","N","C","advise","英[od'vaiz]美[sed'vaiz] ","n.&v.敲；打","n.&v.微笑；笑容","v.劝告，提建议","v.学习；认识到","","","",""
"meqzj04008","junior","N","A","steal","英[]美[stil] (stole，stolen)","v.偷;窃取","v.需求；要求","收集；收藏","n.&v.思想；介意","","","",""
"meqzj04009","junior","N","A","guess","英[ges]美[g] ","v.推测；猜测","v.使苦恼n.烦恼;困难","v.扛；运送；输送","v.得分n.分数","","","",""
"meqzj04010","junior","N","C","hold","英[hould]美[hould] (held，hcld)","n.&v.敲；打","n.形状v，使成型","v.拿住;保存；同意","v.讨论；论述","","","",""
"meqzj04011","junior","N","B","tie","英[tai]美[tai] ","预料；期待，希望",".系；扎n.领带","n.&v，获胜；","n.零钱v.改变","","","",""
"meqzj04012","junior","N","D","trust","英[tTASt]美[tTASt] ","提供，供给","n.&v・停留；保持","n.通告；注意v.注意到","v.相信；信任","","","",""
"meqzj04013","junior","N","B","imagine","英[imaedsm]美[imaed3in] ","n.&v，获胜；","v.想象，设想","v.需求；要求","重复；重做","","","",""
