seq,word,phonetic,exchange,trans,
01/51,different,英['difәrәnt],,a.不同的；差异的
02/51,pale,英['pæli;'pei-],,a.苍白的；暗淡的；无力的
03/51,wet,英[wet],,a.湿的；多雨的；潮湿的；
04/51,noisy,英['nɒizi],,a-吵闹的；喧闹的
05/51,successful,英[sәk'sesful],,a.成功的；有成就的
06/51,honest,英['ɒnist],,a.诚实的；坦诚的
07/51,ugly,英['ʌgli],,a.丑陋的；难看的
08/51,born,英[bɒ:n],(bear的过去分词),a.天生的v.出生
09/51,primary,英['praimәri],,a.主要的；初级的
10/51,traditional,英[trә'diʃәnl],,a.传统的；惯例的
11/51,wise,英[waiz]美[waiz],,a.聪明的；有见识的
12/51,careless,英['kєәlis],,a.粗心的；漫不经心的
13/51,large,英[lɑ:dʒ],,a.大的；规模大的
14/51,loud,英[laud],,a.大声的；响亮的
15/51,general,英['dʒenәrәl],,a.普遍的；通常的；综合的
16/51,alone,英[ә'lәun],,a.单独的ad.独自地
17/51,single,英['siŋgl],,a.单一的；单身的
18/51,German,英['dʒә:mәn],,a.德国的；德国人的n.德国人
19/51,underground,英['ʌndәgraund],,a.地下的n.地铁
20/51,electronic,英[.ilek'trɒnik],,a.电子的；电子学的
21/51,missing,英['misiŋ],,a.丢失的；失踪的
22/51,east,英[i:st],,n.东方a.东方的ad.在东方
23/51,eastern,英['i:stәn],,a.东方的，东部的
24/51,harmful,英['hɑ:mful],,a.有害的；损害的
25/51,Russian,英['rʌʃәn],,a.俄国人的n.俄国人；俄语
26/51,both,英[bәuθ],,pron.两者a.两者都
27/51,African,英['æfrikәn],,a.非洲的；非洲人的n.非洲人
28/51,pink,英[piŋk],,n.粉红色a.粉红色的
29/51,crazy,英['kreizi],,a.疯狂的；着迷的
30/51,rich,英[ri:tʃ],,a.富裕的；肥沃的
31/51,glad,英[glæd],,a.高兴的；乐意的
32/51,personal,英['pә:snl],,a.个人的；私人的
33/51,each,英[i:tʃ],,pron.每个a.各自的
34/51,helpful,英['helpful],,a.有帮助的，有益的
35/51,public,英['pʌblik],,n.公众a.公共的
36/51,fair,英[fєә],,a.公平的ad.公平地
37/51,lonely,英['lәunli],,a.孤独的；偏僻的
38/51,ancient,英['einʃәnt],,a.古代的；古老的n.古代人
39/51,smooth,英[smu:ð],,a.光滑的；平坦的；顺利的
40/51,national,英['næʃәnәl],,a.国家的；民族的
41/51,shy,英[ʃai],,a.害羞的；胆怯的
42/51,few,英[fju:],,pron.极少a.很少的；几乎没有的
43/51,thick,英[θik],,a.厚的；浓的
44/51,grey,英[grei],,a.灰色的n.灰色
45/51,alive,英[ә'laiv],,a.活着的；有生气的
46/51,active,英['æktiv],,a.积极的；活跃的；有效的
47/51,basic,英['beisik],,a.基本的；首要的
48/51,fantastic,英[fæn'tæstik],,a.极好的；异想天开的；虚幻的
49/51,tiny,英['taini],,a.极小的；微小的
50/51,Canadian,英[kә'neidiәn],,a.加拿大的；加拿大人的n.加拿大人
51/51,simple,英['simpl],,a.简单的；单纯的
