id,type,mchoice,ans,title,desc,opa,opb,opc,opd,ope,opf,opg,oph
"meqzp05000","primary","N","A","playground","英[pleigraond]^［ple.graond] ","n.操场","n.狗","n.父亲","n.冬天","","","",""
"meqzp05001","primary","N","D","grass","英[gias]美[græs] ","n.城市","n.电影院；电影","n.公园v.停车","n.草；草地","","","",""
"meqzp05002","primary","N","C","toilet","英[toibt]美[toibt] ","n.蛋；卵","n.分钟；一会儿","n.厕所","n.操场","","","",""
"meqzp05003","primary","N","A","tea","英[注]美[网] ","n.茶，茶叶","n.房子：住宅","n.超级市场，超市","n.草；草地","","","",""
"meqzp05004","primary","N","C","supermarket","英[su:poma:kit]美[Hf'suponnarkot] ","n.动物a.动物的","n.光；灯v.点火a.明亮的","n.超级市场，超市","n.窗户","","","",""
"meqzp05005","primary","N","D","city","英[siti]美[、ti] ","n.故事，小说","n.袋，包","n.茶，茶叶","n.城市","","","",""
"meqzp05006","primary","N","D","taxi","英[taksi]美[t2eksi] ","n.妇女；女人","n.歌唱；歌曲","n.风筝","n.出租汽车","","","",""
"meqzp05007","primary","N","C","kitchen","英[kijin]美[] ","n.船v.用船装运","n.狗","n.厨房","n.蛋糕；饼","","","",""
"meqzp05008","primary","N","C","ship","英[Lf】p]美[M] ","n.黑5","n.工人；工作者","n.船v.用船装运","n.公共汽车，大巴车","","","",""
"meqzp05009","primary","N","D","window","英[wind。]可美[windoo] ","n.超级市场，超市","n.电子邮件v.发电子邮件","n.城市","n.窗户","","","",""
"meqzp05010","primary","N","B","bed","英[bed]美[版d] ","n.飞机","n.床","n.草；草地","n.短袜","","","",""
"meqzp05011","primary","N","C","spring","英[spriij]美[spnq] ","n.短裤","n.父亲","n.春天：泉水","n.飞机","","","",""
"meqzp05012","primary","N","A","word","英[w3：d]美[w3『d] ","n.词，单词；话","n.稻米；米饭","n.超级市场，超市","n.狗","","","",""
"meqzp05013","primary","N","D","bag","英[beg]美[bag] ","n.故事，小说","n.蛋；卵","n.蛋糕；饼","n.袋，包","","","",""
"meqzp05014","primary","N","A","egg","英[eg]美[囿] ","n.蛋；卵","n.短袜","n.草；草地","n.光；灯v.点火a.明亮的","","","",""
"meqzp05015","primary","N","C","cake","英[keik]美[keik] ","n.公共汽车，大巴车","n.黑5","n.蛋糕；饼","n.分钟；一会儿","","","",""
"meqzp05016","primary","N","A","rice","英[rais]美[rais] ","n.稻米；米饭","n.地方v.放置","n.操场","n.飞机","","","",""
"meqzp05017","primary","N","C","place","英[pleis]美[pies] ","n.歌唱；歌曲","n.船v.用船装运","n.地方v.放置","n.电影","","","",""
"meqzp05018","primary","N","B","floor","英[fb(r)]美[fhr] ","n.父母，双亲","n.地面；楼层","n.地方v.放置","n.冬天","","","",""
"meqzp05019","primary","N","B","map","英[mæp]美[map] ","n.父母，双亲","n.地图","n.耳朵；听力","n.厕所","","","",""
"meqzp05020","primary","N","B","film","英[film]美[film] ","n.狗","n.电影","n.飞机","n.蛋糕；饼","","","",""
"meqzp05021","primary","N","C","cinema","英[sinnm]美[sinoma] ","n.电子邮件v.发电子邮件","n.床","n.电影院；电影","n.电影","","","",""
