seq,word,phonetic,exchange,trans,
01/50,red,英[red],,n.红色a.红色的
02/50,monkey,英['mʌŋki],,n.猴子
03/50,lake,英[leik],,n.湖
04/50,nurse,英[nә:s],,n.护士
05/50,flower,英['flauә],,n.花
06/50,train,英[trein],,n.火车v.培训
07/50,machine,英[mә'ʃi:n],,n.机器
08/50,chicken,英['tʃikin],,n.鸡，鸡肉a.胆怯的
09/50,season,英['si:zn],,n.季节
10/50,home,英[hәum],,n.家ad.到家
11/50,family,英['fæmәli],,n.家庭
12/50,holiday,英['hɒlәdi],,n.假期
13/50,river,英['rivә],,n.江，河
14/50,teacher,英['ti:tʃә],,n.教师
15/50,street,英[stri:t],,n.街，街道
16/50,sister,英['sistә],,n.姐，妹
17/50,police,英[pә'li:s],,n.警察
18/50,orange,英['ɒ:rindʒ],,n.橘子a.橘色的
19/50,party,英['pɑ:ti],,n.聚会，党派
20/50,science,英['saiәns],,n.科学
21/50,lesson,英['lesn],,n.课，教训
22/50,trousers,英['trauzәz],,n.裤子
23/50,crayon,英['kreiәn],,n.蜡笔
24/50,blue,英[blu:],,n.蓝色a.蓝色的
25/50,basketball,英['bɑ:skitbɒ:l],,n.篮球
26/50,tiger,英['taigә],,n.老虎
27/50,dress,英[dres],,n.连衣裙v.穿衣
28/50,face,英[feis],,n.脸v.面向
29/50,way,英[wei],,n.路，方式
30/50,mum,英[mʌm],,n.妈妈
31/50,horse,英[hɒ:s],,n.马
32/50,cat,英[kæt],,n.猫
33/50,sweater,英['swetә],,n.毛衣
34/50,cap,英[kæp],,n.帽子
35/50,door,英[dɒ:],,n.门
36/50,sheep,英[ʃi:p],(复sheep),n.绵羊
37/50,bread,英[bred],,n.面包
38/50,noodle,英['nu:dl],,n.面条
39/50,card,英[kɑ:d],,n.名片，纸牌
40/50,name,英[neim],,n.名字v.命名
41/50,mother,英['mʌðә],(mom，mum),n.母亲
42/50,there,英[ðєә],,n.那里ad.在那里
43/50,grandmother,英['grændmʌðә],(grandma),n.奶奶，外婆
44/50,cow,英[kau],,n.奶牛
45/50,shirt,英[ʃә:t],,n.男衬衫
46/50,boy,英[bɒi],,n.男孩
47/50,year,英[jiә],,n.年
48/50,bird,英[bә:d],,n鸣
49/50,milk,英[milk],,n.牛奶
50/50,farm,英[fɑ:m],,n.农场，农庄
